datasetid,datasetgroup,datasetname,description,cellline,smallmolecule,technologies
LDS-1139,LDG-1136,AZD-1152HQPA KINOMEscan-2,-,,[u'AZD-1152-HQPA'],KINOMEscan
LDS-1135,LDG-1132,PLX-4720 KINOMEscan-2,-,,[u'PLX-4720'],KINOMEscan
LDS-1157,LDG-1154,GSK-1363089 KINOMEscan,-,,[u'Foretinib'],KINOMEscan
LDS-1146,LDG-1143,SGX-523 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of SGX-523.",,[u'SGX-523'],KINOMEscan
LDS-1164,LDG-1161,Ki-20227 KINOMEscan,-,,[u'Ki20227'],KINOMEscan
LDS-1133,LDG-1130,GDC-0941 KINOMEscan-2,-,,[u'Pictilisib'],KINOMEscan
LDS-1152,LDG-1149,BMS-387032 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of BMS-387032.",,[u'BMS-387032'],KINOMEscan
LDS-1156,LDG-1153,BIBF-1120 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of BIBF-1120.",,[u'Nintedanib'],KINOMEscan
LDS-1138,LDG-1135,MLN-8054 KINOMEscan,-,,[u'MLN-8054'],KINOMEscan
LDS-1168,LDG-1165,PKC-412 KINOMEscan,-,,[u'PKC412'],KINOMEscan
LDS-1169,LDG-1166,CP-690550 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of CP-690550.",,[u'Tofacitinib'],KINOMEscan
LDS-1170,LDG-1167,CEP-701 KINOMEscan,-,,[u'Lestaurtinib'],KINOMEscan
LDS-1145,LDG-1142,CI-1033 KINOMEscan-2,-,,[u'Canertinib'],KINOMEscan
LDS-1177,LDG-1174,Dasatinib KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of Dasatinib.",,[u'Dasatinib'],KINOMEscan
LDS-1175,LDG-1172,GSK-461364A KINOMEscan,-,,[u'GSK-461364'],KINOMEscan
LDS-1173,LDG-1170,Sorafenib KINOMEscan-2,-,,[u'Sorafenib'],KINOMEscan
LDS-1174,LDG-1171,Flavopiridol KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of Flavopiridol.",,[u'Alvocidib'],KINOMEscan
LDS-1149,LDG-1146,TKI-258 KINOMEscan,-,,[u'Dovitinib'],KINOMEscan
LDS-1147,LDG-1144,PHA-665752 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of PHA-665752.",,[u'PHA-665752'],KINOMEscan
LDS-1161,LDG-1158,BMS-540215 KINOMEscan,-,,[u'C19H19FN4O3'],KINOMEscan
LDS-1128,LDG-1125,AC220 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of AC220.",,[u'Quizartinib'],KINOMEscan
LDS-1160,LDG-1157,Sunitinib KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of Sunitinib.",,[u'Sunitinib'],KINOMEscan
LDS-1154,LDG-1151,INCB018424 KINOMEscan,-,,[u'Ruxolitinib'],KINOMEscan
LDS-1140,LDG-1137,LY-317615 KINOMEscan,-,,[u'Enzastaurin'],KINOMEscan
LDS-1136,LDG-1133,Lapatinib KINOMEscan-2,-,,[u'Lapatinib'],KINOMEscan
LDS-1127,LDG-1124,BMS-345541 KINOMEscan,-,,[u'BMS-345541'],KINOMEscan
LDS-1167,LDG-1164,Vandetanib KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of Vandetanib.",,[u'Vandetanib'],KINOMEscan
LDS-1181,LDG-1178,Crizotinib KINOMEscan-2,-,,[u'Crizotinib'],KINOMEscan
LDS-1180,LDG-1177,TAE-684 KINOMEscan,-,,[u'TAE-684'],KINOMEscan
LDS-1178,LDG-1175,VX-680 KINOMEscan,-,,[u'Tozasertib'],KINOMEscan
LDS-1171,LDG-1168,GSK-1838705A KINOMEscan,-,,[u'GSK1838705A'],KINOMEscan
LDS-1165,LDG-1162,SKI-606 KINOMEscan,-,,[u'Bosutinib'],KINOMEscan
LDS-1158,LDG-1155,SB-203580 KINOMEscan,-,,[u'SB-203580'],KINOMEscan
LDS-1155,LDG-1152,TG-101348 KINOMEscan,-,,[u'Fedratinib'],KINOMEscan
LDS-1151,LDG-1148,AB-1010 KINOMEscan,-,,[u'Masitinib'],KINOMEscan
LDS-1150,LDG-1147,GSK-690693 KINOMEscan,-,,[u'C21H27N7O3'],KINOMEscan
LDS-1129,LDG-1126,R406 KINOMEscan-2,-,,[u'Tamatinib'],KINOMEscan
LDS-1179,LDG-1176,Imatinib KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of Imatinib.",,[u'Imatinib'],KINOMEscan
LDS-1163,LDG-1160,ABT-869 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of ABT-869.",,[u'Linifanib'],KINOMEscan
LDS-1153,LDG-1150,BIBW-2992 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of BIBW-2992.",,[u'Afatinib'],KINOMEscan
LDS-1148,LDG-1145,PI-103 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of PI-103.",,[u'PI-103'],KINOMEscan
LDS-1166,LDG-1163,KW-2449 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of KW-2449.",,[u'KW-2449'],KINOMEscan
LDS-1142,LDG-1139,Gefitinib KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of Gefitinib.",,[u'Gefitinib'],KINOMEscan
LDS-1141,LDG-1138,Erlotinib KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of Erlotinib.",,[u'Erlotinib'],KINOMEscan
LDS-1144,LDG-1141,Pazopanib KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of Pazopanib.",,[u'Pazopanib'],KINOMEscan
LDS-1176,LDG-1173,HKI-272 KINOMEscan-2,-,,[u'Neratinib'],KINOMEscan
LDS-1132,LDG-1129,BIRB-796 KINOMEscan,-,,[u'Doramapimod'],KINOMEscan
LDS-1137,LDG-1134,AZD-6244 KINOMEscan,-,,[u'Selumetinib'],KINOMEscan
LDS-1131,LDG-1128,AMG-706 KINOMEscan,-,,[u'Motesanib'],KINOMEscan
LDS-1130,LDG-1127,BI-2536 KINOMEscan-2,-,,[u'BI-2536'],KINOMEscan
LDS-1162,LDG-1159,GDC-0879 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of GDC-0879.",,[u'MLS006011051'],KINOMEscan
LDS-1134,LDG-1131,CI-1040 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of CI-1040.",,[u'CI-1040'],KINOMEscan
LDS-1159,LDG-1156,VX-745 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of VX-745.",,[u'VX-745'],KINOMEscan
LDS-1122,LDG-1119,Breast cell line dose response to target inhibition measured by high throughput microscopy,-,"[u'HCC1954', u'AU565', u'T47D']","[u'MK-2206', u'Gefitinib', u'Triciribine', u'Dactolisib', u'PP-242', u'GSK-1059615']",Fluorescence imaging
LDS-1184,LDG-1181,CGP74514A KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of CGP74514A at 10 uM of concentration.",,[u'CGP74514A'],KINOMEscan
LDS-1182,LDG-1179,RAF-265 KINOMEscan,-,,[u'CHIR-265'],KINOMEscan
LDS-1183,LDG-1180,RO-3306 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of RO-3306 at 10 uM of concentration.",,[u'RO-3306'],KINOMEscan
EDS-1001,EDS-1001,MGH (CMT) Growth Inhibition Assay Protocol (3 compound doses) -- DNA Staining,,"[u'PL4', u'TASK1', u'22RV1', u'DU 145', u'VCaP', u'SCH', u'NCI-H727', u'UMC-11', u'C170', u'SW620', u'COLO 741', u'COLO-206F', u'COLO-678', u'HCT 116', u'HT115', u'HT55', u'MDST8', u'OUMS-23', u'T84', u'WiDr', u'Caco-2', u'CCK-81', u'COLO 201', u'COLO 205', u'COLO-320', u'DLD-1', u'GP5d', u'HCC-56', u'HCT-15', u'Hs 257.T', u'LoVo', u'LS174T', u'LS180', u'SK-CO-1', u'SW 1417', u'SW 48', u'SW-948', u'CoCM-1', u'COLO 320DM', u'HCT-8', u'CL-40', u'SW 1116', u'FaDu', u'HO-1-u-1', u'BICR 10', u'HO-1-N-1', u'BICR 78', u'HSC-2', u'KON', u'BHY', u'HN', u'SAT', u'SKN-3', u'PE/CA-PJ15', u'BICR 22', u'BICR 31', u'CAL 27', u'CAL-33', u'HSC-3', u'HSC-4', u'OSC-19', u'OSC-20', u'SAS', u'SCC-15', u'SCC-25', u'SCC-4', u'SCC-9', u'Detroit 562', u'KOSC-2 cl3-43', u'NCI-H2452', u'A375.S2', u'COLO-679', u'1205Lu', u'A2058', u'C32', u'COLO 792', u'COLO 853', u'COLO 857', u'COLO 858', u'COLO-783', u'COLO-818', u'COLO-849', u'G-361', u'IGR-1', u'IGR-37', u'IGR-39', u'IPC-298', u'MEL-HO', u'MEL-JUSO', u'MEWO', u'RPMI-7951', u'RVH-421', u'SK-MEL-2', u'SK-MEL-30', u'VMRC-MELG', u'WM 266-4', u'WM-115', u'WM1552C', u'WM278', u'WM35', u'WM793B', u'A373-C6', u'HMVII', u'NCI-H630', u'CaR-1', u'HRT-18', u'RCM-1', u'SW 1463', u'SW837', u'BeWo', u'CAL-39', u'C2BBe1', u'C-33 A', u'C-4 I', u'C-4 II', u'DoTc2 4510', u'HT-3', u'ME-180', u'MS751', u'MDA-MB-435S', u'BT-474', u'BT-483', u'BT-549', u'EFM-19', u'EFM-192B', u'EVSA-T', u'HCC1419', u'MDA-MB-134-VI', u'MDA-MB-175-VII', u'MFM-223', u'UACC-812', u'UACC-893', u'ZR-75-1', u'ZR-75-30', u'HCC1143', u'HCC1395', u'HCC1937', u'HCC1954', u'HCC202', u'HCC38', u'HCC70', u'LNZTA3WT4', u'42-MG-BA', u'A172', u'DBTRG-05MG', u'DK-MG', u'GAMG', u'GMS-10', u'LN-18', u'LN-229', u'LNZTA3WT11', u'M059J', u'T98G', u'U-118 MG', u'U-138 MG', u'U373 MG', u'YKG-1', u'1321N1', u'CCF-STTG1', u'LN-405', u'MOG-G-CCM', u'MOG-G-UVW', u'SW 1088', u'SW 1783', u'U-251 MG', u'H4', u'Hs 683', u'SCCH-196', u'A431', u'GOS-3', u'PFSK-1', u'SJCRH30', u'A-204', u'A673', u'RD', u'PA-1', u'143B', u'143B PML BK TK', u'CAL-72', u'G-292 Clone A141B1', u'HOS', u'HuO-3N1', u'HuO9', u'HuO9N2', u'KHOS/NP', u'KHOS-240S', u'KHOS-312H', u'MG-63', u'NY', u'Saos-2', u'U-2 OS', u'SK-ES-1', u'HT 1080', u'Hs 633T', u'FLYA13', u'MHH-ES-1', u'RD-ES', u'CAL-78', u'H-EMC-SS', u'MCF7', u'AU565', u'CAL-120', u'CAL-148', u'CAL-85-1', u'CAMA-1', u'HCC1428', u'MDA-MB-361', u'MDA-MB-415', u'MDA-MB-436', u'MDA-MB-468', u'CAL-51', u'MT-3', u'SW527', u'COLO-824', u'EFM-192A', u'EFM-192C', u'HCC1569', u'HDQ-P1', u'JIMT-1', u'KPL-1', u'MB 157', u'MDA-MB-453', u'T47D', u'JAR', u'MCAS', u'EFE-184', u'EN', u'HEC-1', u'Ishikawa', u'Ishikawa (Heraklio) 02 ER-', u'AN3CA', u'MFE-280', u'MFE-296', u'MFE-319', u'SNG-M', u'ESS-1', u'MES-SA', u'MES-SA/Dx-5', u'G-401', u'Hs 588.T', u'SISO', u'EFO-21', u'SK-OV-3', u'A2780', u'Caov-3', u'Caov-4', u'EFO-27', u'NIH:OVCAR-3', u'OV-90', u'OVISE', u'OVKATE', u'OVMIU', u'OVSAYO', u'OVTOKO', u'SW 626', u'TOV-21G', u'23132/87', u'AZ-521', u'IM-95m', u'MKN45', u'MKN74', u'RERF-GC-1B', u'SCaBER', u'Ca Ski', u'SiHa', u'SKG-IIIb', u'SW756', u'KYSE-140', u'KYSE-150', u'KYSE-180', u'KYSE-450', u'COLO-680N', u'KYSE-270', u'KYSE-30', u'KYSE-410', u'KYSE-510', u'KYSE-520', u'KYSE-70', u'OE21', u'KYSE-220', u'KYSE-50', u'T.T', u'T.Tn', u'Daoy', u'Calu-1', u'EPLC-272H', u'NCI-H1703', u'SK-MES', u'EBC-1', u'HARA', u'LC-1 sq', u'LK-2', u'LOU-NH91', u'LUDLU-1', u'NCI-H2170', u'NCI-H520', u'RERF-LC-Sq1', u'SW 900', u'VMRC-LCP', u'NCI-H1915', u'NCI-H2023', u'A-427', u'A549', u'BEN', u'CAL-12T', u'HCC-15', u'HCC-366', u'HCC-44', u'HCC-78', u'HCC-827', u'NCI-H1299', u'NCI-H1435', u'NCI-H1568', u'NCI-H1650', u'NCI-H1869', u'NCI-H1944', u'NCI-H2085', u'NCI-H2110', u'NCI-H2135', u'NCI-H2172', u'NCI-H23', u'NCI-H2347', u'NCI-H2444', u'NCI-H522', u'NCI-H838', u'NCI-H647', u'PC-9', u'Calu-3', u'NCI-H1648', u'NCI-H1651', u'ABC-1', u'COR-L 105', u'DV-90', u'NCI-H1437', u'NCI-H1573', u'NCI-H1623', u'NCI-H1693', u'NCI-H1734', u'NCI-H1755', u'NCI-H1781', u'NCI-H1792', u'NCI-H1793', u'NCI-H1993', u'NCI-H2009', u'NCI-H2030', u'NCI-H2073', u'NCI-H2087', u'NCI-H2122', u'NCI-H2228', u'NCI-H2291', u'NCI-H2342', u'NCI-H2405', u'PC-14', u'RERF-LC-Ad1', u'RERF-LC-KJ', u'SK-LU-1', u'NCI-H810', u'NCI-H358', u'NCI-H650', u'NCI-H3122', u'SW 13', u'FTC-133', u'FTC-238', u'ML-1', u'RO82-W-1', u'TT2609-C02', u'ASH-3', u'CAL-62', u'KMH-2', u'8305C', u'8505C', u'B-CPAP', u'BHT-101', u'HTC-C3', u'IHH-4', u'A2780ADR', u'FU-OV-1', u'OAW28', u'OAW42', u'TYK-nu', u'1A6', u'EJ138', u'RT112/84', u'647-V', u'T24', u'BFTC-905', u'CAL-29', u'HT 1376', u'HT-1197', u'J82', u'KU-19-19', u'RT-112', u'RT4', u'SW 780', u'SW-1710', u'TCCSUP', u'UM-UC-3', u'VM-CUB1', u'KP-3', u'KP-3L', u'KP-4', u'PANC-1', u'PL45', u'KP-2', u'SUIT-2', u'AsPC-1', u'BxPC-3', u'Capan-1', u'Capan-2', u'DAN-G', u'HPAC', u'HPAF-II', u'Hs 766T', u'MIA PaCa-2', u'Panc 02.03', u'Panc 03.27', u'Panc 04.03', u'Panc 08.13', u'Panc 10.05', u'PA-TU-8902', u'PA-TU-8988S', u'PA-TU-8988T', u'SU.86.86', u'G-402', u'GCT', u'QGP-1', u'KMRC-20', u'ACHN', u'CAL-54', u'SW 156', u'VMRC-RCW', u'VMRC-RCZ', u'769-P', u'786-O', u'Caki-1', u'KMRC-1', u'MSTO-211H', u'S-117', u'COR-L 23/CPR', u'COR-L23', u'LCLC-103H', u'LCLC-97TM1', u'NCI-H1581', u'NCI-H460', u'NCI-H661', u'NCI-H596', u'EGI-1', u'HuCCT1', u'HUP-T3', u'HUP-T4', u'YAPC', u'OE19', u'OE33', u'NCI-H322', u'SW 1573', u'OCUG-1', u'KG-1-C', u'SK-NEP-1', u'RKN', u'SKG-IIIa', u'RMG-I', u'ES-2', u'DMS 273', u'DMS 53', u'Lu-135', u'NCI-H1048', u'NCI-H1688', u'NCI-H1876', u'NCI-H196', u'NCI-H2029', u'NCI-H2195', u'NCI-H2196', u'NCI-H2198', u'NCI-H2286', u'NCI-H841', u'RERF-LC-MA', u'SBC-5', u'SCLC-21H', u'SHP-77', u'SW 1271', u'H69V', u'KHM-3S', u'Lu-134-A-H', u'STC 1', u'SBC-3', u'RPMI 2650', u'HGC-27', u'Hs 746T', u'IM-95', u'MKN7', u'NCI-N87', u'NUGC-3', u'SNU-1', u'SNU-16', u'SNU-5', u'AGS', u'FU97', u'NUGC-2', u'NCC-IT-A3', u'LU65', u'LU65A', u'LU65B', u'LU65C', u'LU99A', u'LU99B', u'LU99C', u'NCI-H441', u'MDA-MB-157', u'MKN1', u'TOV-112D', u'BFTC-909', u'MKN28', u'JHH-6', u'Hep 3B2.1-7', u'Huh7', u'C3A', u'JHH-1', u'JHH-2', u'JHH-4', u'JHH-7', u'SNU-182', u'SNU-387', u'SNU-398', u'SNU-423', u'SNU-449', u'SNU-475', u'HLF', u'HLE', u'huH-1', u'SK-HEP-1', u'PLC/PRF/5', u'639-V', u'HCC1806', u'MDA-MB-330', u'TGW', u'BE(2)-C', u'CHP-212', u'IMR-32', u'KELLY', u'MC-IXC', u'SCCH-26', u'SK-N-AS', u'SK-N-DZ', u'SK-N-SH', u'NB69', u'SH-SY5Y', u'NUGC-4', u'OCUM-1', u'KATO III', u'621-101', u'Ca9-22']","[u'Seliciclib', u'Sorafenib', u'GSK-461364', u'Dasatinib', u'Tozasertib', u'HY-11007', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'Saracatinib', u'BI-2536', u'Itk inhibitor', u'A-443654', u'AZ628', u'Lapatinib', u'Rapamycin', u'TORIN1', u'CHEMBL1673039', u'Erlotinib', u'MG-132', u'WH-4-023']",Fluorescence imaging
